measurementID	eventID	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementUnit	measurementUnitID	measurementRemarks
Proteker5_Intertidal_2016-11-19_1	Proteker5_Intertidal_2016-11-19		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	4.9	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Intertidal_2016-12-04_2	Proteker5_Intertidal_2016-12-04		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	6.8	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-20_3	Proteker5_Scuba_2016-11-20		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	5.3	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-21_4	Proteker5_Scuba_2016-11-21		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	5.3	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-22_5	Proteker5_Scuba_2016-11-22		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	5.7	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-23_6	Proteker5_Scuba_2016-11-23		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	4.8	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-26_7	Proteker5_Scuba_2016-11-26		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	6.6	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-30_8	Proteker5_Scuba_2016-11-30		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	6	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-12-01_9	Proteker5_Scuba_2016-12-01		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	6.7	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Water_2016-11-29_10	Proteker5_Water_2016-11-29		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	5.9	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Water_2016-12-03_11	Proteker5_Water_2016-12-03		Temperature of the water body	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	5.3	Degrees Celsius	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
Proteker5_Scuba_2016-11-26_Isotopes_SED001_12	Proteker5_Scuba_2016-11-26_Isotopes_SED001		The δ13C measured in the considered sample, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.	https://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-17.65	per mille		Sediment
Proteker5_Scuba_2016-11-26_Isotopes_SED002_13	Proteker5_Scuba_2016-11-26_Isotopes_SED002		The δ13C measured in the considered sample, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.	https://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-17.99	per mille		Sediment
Proteker5_Scuba_2016-11-26_Isotopes_SED003_14	Proteker5_Scuba_2016-11-26_Isotopes_SED003		The δ13C measured in the considered sample, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.	https://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-18.31	per mille		Sediment
Proteker5_Scuba_2016-11-26_Isotopes_SED004_15	Proteker5_Scuba_2016-11-26_Isotopes_SED004		The δ13C measured in the considered sample, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.	https://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-18.06	per mille		Sediment
Proteker5_Scuba_2016-11-26_Isotopes_SED005_16	Proteker5_Scuba_2016-11-26_Isotopes_SED005		The δ13C measured in the considered sample, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.	https://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-18	per mille		Sediment
