eventID	occurrenceID	catalogNumber	institutionCode	scientificName	identificationQualifier	identificationRemarks	taxonRank	scientificNameID	kingdom	phylum	class	order	family	genus	specificEpithet	basisOfRecord	occurrenceRemarks	occurrenceStatus	type	preparations
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA002	ABA002	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA003	ABA003	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA008	ABA008	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA011	ABA011	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA013	ABA013	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA014	ABA014	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA016	ABA016	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA017	ABA017	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA023	ABA023	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-20	Proteker5_Scuba_2016-11-20_Isotopes_ABA025	ABA025	ULiege	Abatus cordatus			species	urn:lsid:marinespecies.org:taxname:160763	Animalia	Echinodermata	Echinoidea	Spatangoida	Schizasteridae	Abatus	cordatus	MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO001	PHAEO001	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO002	PHAEO002	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO003	PHAEO003	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO004	PHAEO004	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO005	PHAEO005	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO006	PHAEO006	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO007	PHAEO007	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO008	PHAEO008	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_PHAEO009	PHAEO009	ULiege	Acrosiphonia			genus	urn:lsid:marinespecies.org:taxname:143803	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Acrosiphonia		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-26	Proteker5_Scuba_2016-11-26_Isotopes_ADENO01	ADENO01	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO02	ADENO02	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO03	ADENO03	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO04	ADENO04	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO05	ADENO05	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO06	ADENO06	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO07	ADENO07	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO08	ADENO08	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO09	ADENO09	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO10	ADENO10	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Scuba_2016-11-30	Proteker5_Scuba_2016-11-30_Isotopes_ADENO11	ADENO11	ULiege	Adenocystis			genus	urn:lsid:marinespecies.org:taxname:325419	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Adenocystaceae	Adenocystis		MaterialSample		present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI006	AMPHI006	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI008	AMPHI008	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI010	AMPHI010	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI012	AMPHI012	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI014	AMPHI014	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI015	AMPHI015	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI017	AMPHI017	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI018	AMPHI018	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI021	AMPHI021	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Intertidal_2016-11-19	Proteker5_Intertidal_2016-11-19_Isotopes_AMPHI025	AMPHI025	ULiege	Amphipoda			order	urn:lsid:marinespecies.org:taxname:1135	Animalia	Arthropoda	Malacostraca	Amphipoda				MaterialSample	Very abundant in intertidal and subtidal zones.	present	PhysicalObject	none
Proteker5_Scuba_2016-11-22	Proteker5_Scuba_2016-11-22_Isotopes_ASTER052	ASTER052	ULiege	Anasterias			genus	urn:lsid:marinespecies.org:taxname:172534	Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Anasterias		MaterialSample		present	PhysicalObject	acidification
Proteker5_Scuba_2016-11-23	Proteker5_Scuba_2016-11-23_Isotopes_ASTER082	ASTER082	ULiege	Anasterias			genus	urn:lsid:marinespecies.org:taxname:172534	Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Anasterias		MaterialSample		present	PhysicalObject	acidification
